total_population,california_county,approximate_location,ces_4_0_score,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,twocounty
6923,Fresno,Fresno,41.41,75-80%,0.06,13.59727243,0.077,733.95,56.74,0,1151.699636,838.3676469,0,0,0.395,0,0.5,44.43,5.42,127.72,13.88,18.5,3.6,52.5,12.3,20.6,73.6,7.63,Other County
5096,Los Angeles,Los Angeles,41.41,75-80%,0.052,11.88924998,0.213,488.79,66.73,0,1496.661641,1477.231049,37.05,7.25,0.265,6,0.4,57.35,7,65.4,11.07,17.4,7.5,29.6,9.9,16.6,57.01,5.91,Los Angeles
5745,Tulare,Exeter,41.39,75-80%,0.065,12.74362667,0.087,526.85,65.37,895.67,367.2705498,338.5611749,2,8.1,0.125,0,0,47.53,5.8,42.61,16.28,25.2,18.8,53.8,13.8,17.1,68.76,7.13,Other County
4344,San Bernardino,Upland,41.37,75-80%,0.064,15.23038555,0.249,801.08,56.89,0,709.907674,630.6953195,18.75,0,0.095,0,0,48.14,5.88,48.53,15.37,19.7,8.9,45.5,12.5,26.2,67.86,7.04,Other County
3837,Stanislaus,Ceres,41.37,75-80%,0.055,11.4225751,0.048,866.65,60.01,3.39,348.8329976,764.6118406,0,0.75,0.21,6,0.3,44.93,5.49,54.11,18.45,16.1,6.4,42.5,10.7,25.1,72.7,7.54,Other County
4547,Los Angeles,Los Angeles,41.35,75-80%,0.067,11.54686613,0.068,726.64,93.19,0,608.631663,772.63019,36,2,0.125,0,0,47.11,5.75,73.91,12.37,37.9,9.1,34.9,9.4,17.4,69.31,7.19,Los Angeles
2425,Merced,Merced,41.35,75-80%,0.055,12.16634621,0.14,525.01,42.14,193.72,14.11503667,1095.374323,5,11.25,0.46,3,0,51.62,6.3,89.3,23.55,19.9,7,34.7,2.6,21.4,63.25,6.56,Other County
6151,Los Angeles,San Fernando,41.35,75-80%,0.067,11.10562647,0.108,499.32,88.69,0,663.433665,474.1705785,12.5,5.6,0.67,0,1,49.8,6.08,76.51,12.32,37.1,13.4,34.9,2.8,22.3,65.57,6.8,Los Angeles
4917,Santa Clara,San Jose,41.35,75-80%,0.041,9.057390764,0.756,291.53,56.59,0,162.8359985,4780.572058,0,17.3,0.145,3,2.2,42.67,5.21,71.35,14.97,50.5,30.8,55.2,7.2,26.6,76.5,7.94,Other County
4109,Merced,Atwater,41.33,75-80%,0.055,12.01370905,0.27,827.96,31.99,727.63,35.92416637,920.2925858,0,1,0.1,0,10.25,49.59,6.06,67.25,21.14,25.7,12.2,35.6,8.3,7.6,65.8,6.83,Other County
4052,Los Angeles,Los Angeles,41.33,75-80%,0.049,12.35660149,0.291,787.94,55.81,0,1705.647359,812.3080413,7.35,11.2,0.16,13,0.1,56.46,6.89,55.72,14.06,13.6,9.5,24,2.7,21.9,57.8,6,Los Angeles
13319,San Bernardino,Victorville,41.33,75-80%,0.061,7.39535961,0.175,320.97,43.33,6.91,29.6376673,1197.314662,0,1.5,0.435,0,2,38.81,4.74,70.58,20.24,20.1,12.9,63.6,19.2,28.7,84.08,8.72,Other County
3662,Orange,La Habra,41.32,75-80%,0.049,12.0571373,0.073,824.59,68.61,0,2923.203349,699.8633001,1,11,0.235,6,2.2,53.24,6.5,47.28,15.01,28.6,9,40.6,8.7,15.2,61.28,6.36,Other County
5288,Orange,Santa Ana,41.31,75-80%,0.048,11.82305063,0.2,409.36,63.27,0,4347.490153,1367.329958,4.9,0,0.345,0,0.95,47.12,5.75,46.42,11.98,55.5,29.3,60.2,4.3,27.4,69.22,7.18,Other County
4056,Contra Costa,Concord,41.3,75-80%,0.039,8.845924874,0.507,255.47,81.98,0.99,934.3083293,3167.539218,9,9.5,0.385,1,0,48.96,5.98,98.8,17.03,24.6,14.2,34.7,8.1,20.1,66.61,6.91,Other County
