total_population,california_county,approximate_location,ces_4_0_score,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,twocounty
3457,Los Angeles,Los Angeles,70.04,95-100% (highest scores),0.062,11.52566258,0.139,726.64,62.76,0,926.9586692,1034.494912,38.75,49,0.93,0,3.5,61.73,7.54,79.39,21.48,35.1,21.5,59.9,9.8,41.1,89.58,9.29,Los Angeles
7508,Los Angeles,Los Angeles,69.81,95-100% (highest scores),0.048,12.53587816,0.769,787.94,58.34,0.05,1906.571736,2879.594269,25.65,20,0.96,7,9.2,75.67,9.24,41.43,10.45,31.9,18.8,59.6,10.1,35.6,72.85,7.56,Los Angeles
4788,Los Angeles,Long Beach,69.66,95-100% (highest scores),0.04,11.69108081,0.208,339.04,87.84,0,14857.66634,854.1597288,3.5,66.5,2.14,18,3.5,61.29,7.48,127.96,27.86,44.1,23.7,72.1,7.4,30.6,89.74,9.31,Los Angeles
3841,Los Angeles,Long Beach,69.65,95-100% (highest scores),0.041,11.72604257,0.56,337.44,81.53,6.9,13332.23275,2233.800035,8.9,12.45,1.395,22,4,70.31,8.59,79.55,21.11,34.6,12.7,51.2,9.1,19.9,78.2,8.11,Los Angeles
4501,Los Angeles,Los Angeles,69.57,95-100% (highest scores),0.044,12.13275518,0.724,787.94,93.23,0,4144.716634,3767.169464,14.35,8.25,0.06,0,0.9,60,7.33,113.88,27.88,50.7,23.8,68.1,7,38.7,91.56,9.5,Los Angeles
2918,Los Angeles,Los Angeles,69.56,95-100% (highest scores),0.046,12.16800708,0.267,787.94,95.33,0,3601.543335,508.4178425,54.85,0.75,9.525,0,8,61.29,7.48,80.43,19.67,61.9,23.1,77.8,17,32.7,89.6,9.29,Los Angeles
4150,Los Angeles,Los Angeles,69.52,95-100% (highest scores),0.046,11.94583615,0.272,787.94,84.37,0.04,2082.327657,3054.125252,3.9,8.05,0.345,7,3.5,65.59,8.01,99.57,16.87,46.2,11.7,50.1,6.1,38,83.69,8.68,Los Angeles
6588,Los Angeles,Long Beach,69.39,95-100% (highest scores),0.043,12.07851936,0.215,339.04,85.58,0.78,7239.183065,913.8811807,14,122,4.395,7,11.5,69.83,8.53,94.42,20.48,28.9,8.3,38.8,6.3,25.2,78.46,8.14,Los Angeles
4165,Los Angeles,Long Beach,69.38,95-100% (highest scores),0.043,12.07684795,0.572,339.04,71.9,0,7182.133547,2820.212253,3.45,83.1,8.09,7,5,67.43,8.23,68.25,15.3,33.2,12,66.2,9.3,28,81.24,8.43,Los Angeles
2705,Los Angeles,Florence-Graham,69.29,95-100% (highest scores),0.045,12.136112,0.322,540.06,95.18,0,4161.033366,1078.399826,27.9,27,1.91,0,1.7,63.68,7.77,80.16,24.73,52.7,24,67.6,9.5,27.4,85.92,8.91,Los Angeles
